Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Group,Comments,LastEditTimestamp
"Mathematics and Statistics",SP,"MATH",365,A,300,4, 4,"NH 276","MWF","8:00AM - 9:05AM",,,Full,"NH","276","8:00 AM","65","9:05 AM","Complex Variables","Dr. Michael David Bolt","","","","","","2024-02-07T08:12:42-05:00"
"Mathematics and Statistics",SP,"MATH",380,A,300,4, 4,"NH 261","MWF","12:15PM - 1:20PM",,,Full,"NH","261","12:15 PM","65","1:20 PM","Perspectives on Modern Mathematics","Nathan S Sunukjian","","","In-person","","","2024-02-06T22:19:42-05:00"
"Mathematics and Statistics",SP,"MATH",385,A,300,4, 4,"NH 261","MWF","9:15AM - 10:20AM",,,Full,"NH","261","9:15 AM","65","10:20 AM","Topics in Mathematics","Staff","","","","","","2024-02-06T10:25:21-05:00"
"Mathematics and Statistics",FA,"MATH",391,A,300,0, 1,"NH 276","TH","3:05PM - 3:55PM",,,Full,"NH","276","3:05 PM","50","3:55 PM","Colloquium","Dr. R John Ferdinands
Dr. Christopher G. Moseley","","","","","Refreshments will begin before 3:00 so talks can begin at 3.","2022-12-08T11:04:40-05:00"
"Mathematics and Statistics",SP,"MATH",391,A,300,0, 1,"NH 276","TH","3:05PM - 3:55PM",,,Full,"NH","276","3:05 PM","50","3:55 PM","Colloquium","Dr. R John Ferdinands
Dr. Christopher G. Moseley","","","","","","2022-12-08T11:04:11-05:00"
"Mathematics and Statistics",SP,"PUBH",504,A,500,3, 3,"","","",,,Second,"","","","","","Biostatistics","Staff","","","Online asynchronous","","","2022-12-06T14:57:31-05:00"
"Mathematics and Statistics",FA,"STAT",143,A,100,4, 4,"NH 295","MWF","8:00AM - 9:05AM",,,Full,"NH","295","8:00 AM","65","9:05 AM","Probability and Statistics","Staff","","","","","","2024-02-06T10:24:30-05:00"
"Mathematics and Statistics",SP,"STAT",143,A,100,4, 4,"NH 295","MWF","8:00AM - 9:05AM",,,Full,"NH","295","8:00 AM","65","9:05 AM","Probability and Statistics","Dr. R John Ferdinands","","","","","","2024-02-06T13:27:26-05:00"
"Mathematics and Statistics",FA,"STAT",143,B,100,4, 4,"NH 295","MWF","9:15AM - 10:20AM",,,Full,"NH","295","9:15 AM","65","10:20 AM","Probability and Statistics","Staff","","","","","","2024-02-06T10:24:39-05:00"
"Mathematics and Statistics",SP,"STAT",143,B,100,4, 4,"NH 295","MWF","9:15AM - 10:20AM",,,Full,"NH","295","9:15 AM","65","10:20 AM","Probability and Statistics","Dr. R John Ferdinands","","","","","","2024-02-06T13:27:41-05:00"
"Mathematics and Statistics",SP,"STAT",143,C,100,4, 4,"NH 295","MWF","11:00AM - 12:05PM",,,Full,"NH","295","11:00 AM","65","12:05 PM","Probability and Statistics","Nathan S Sunukjian","","","","","","2024-02-06T13:32:10-05:00"
"Mathematics and Statistics",FA,"STAT",143,D,100,4, 4,"NH 295","MWF","2:45PM - 3:50PM",,,Full,"NH","295","2:45 PM","65","3:50 PM","Probability and Statistics","Dr. David B. Klanderman","","","","","","2024-02-06T09:43:50-05:00"
"Mathematics and Statistics",SP,"STAT",143,D,100,4, 4,"NH 276","MWF","12:15PM - 1:20PM",,,Full,"NH","276","12:15 PM","65","1:20 PM","Probability and Statistics","Dr. David B. Klanderman","","","","","","2024-02-07T08:15:22-05:00"
"Mathematics and Statistics",FA,"STAT",143,E,100,4, 4,"NH 295","MWF","1:30PM - 2:35PM",,,Full,"NH","295","1:30 PM","65","2:35 PM","Probability and Statistics","Tim Pennings","","","","","","2022-12-08T11:14:27-05:00"
"Mathematics and Statistics",SP,"STAT",143,E,100,4, 4,"NH 295","TTH","2:10PM - 3:50PM",,,Full,"NH","295","2:10 PM","100","3:50 PM","Probability and Statistics","Staff","","","","","","2024-02-07T08:04:06-05:00"
